PLANTS_LIGAND_DESCRIPTION,OLD_LIGAND_DESCRIPTION
247120 CHEMBL344548_entry_00001_conf_01,247120 CHEMBL344548
247120 CHEMBL344548_entry_00001_conf_02,247120 CHEMBL344548
247120 CHEMBL344548_entry_00001_conf_03,247120 CHEMBL344548
247120 CHEMBL344548_entry_00001_conf_04,247120 CHEMBL344548
247120 CHEMBL344548_entry_00001_conf_05,247120 CHEMBL344548
247120 CHEMBL344548_entry_00001_conf_06,247120 CHEMBL344548
247120 CHEMBL344548_entry_00001_conf_07,247120 CHEMBL344548
247120 CHEMBL344548_entry_00001_conf_08,247120 CHEMBL344548
247120 CHEMBL344548_entry_00001_conf_09,247120 CHEMBL344548
247120 CHEMBL344548_entry_00001_conf_10,247120 CHEMBL344548
247120 CHEMBL344548_entry_00001_conf_11,247120 CHEMBL344548
247120 CHEMBL344548_entry_00001_conf_12,247120 CHEMBL344548
247120 CHEMBL344548_entry_00001_conf_13,247120 CHEMBL344548
247120 CHEMBL344548_entry_00001_conf_14,247120 CHEMBL344548
247120 CHEMBL344548_entry_00001_conf_15,247120 CHEMBL344548
247120 CHEMBL344548_entry_00001_conf_16,247120 CHEMBL344548
247120 CHEMBL344548_entry_00001_conf_17,247120 CHEMBL344548
247120 CHEMBL344548_entry_00001_conf_18,247120 CHEMBL344548
247120 CHEMBL344548_entry_00001_conf_19,247120 CHEMBL344548
247120 CHEMBL344548_entry_00001_conf_20,247120 CHEMBL344548
247120 CHEMBL344548_entry_00001_conf_21,247120 CHEMBL344548
247120 CHEMBL344548_entry_00001_conf_22,247120 CHEMBL344548
247120 CHEMBL344548_entry_00001_conf_23,247120 CHEMBL344548
247120 CHEMBL344548_entry_00001_conf_24,247120 CHEMBL344548
247120 CHEMBL344548_entry_00001_conf_25,247120 CHEMBL344548
