TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,PLPtotal,PLPparthbond,PLPpartsteric,PLPpartmetal,PLPpartrepulsive,PLPpartburpolar,LIG_NUM_CLASH,LIG_NUM_CONTACT,LIG_NUM_NO_CONTACT,CHEMpartmetal,CHEMparthbond,CHEMparthbondCHO,DON,ACC,UNUSED_DON,UNUSED_ACC,CHEMPLP_CLASH2,TRIPOS_TORS,ATOMS_OUTSIDE_BINDINGSITE
247120 CHEMBL344548_entry_00001_conf_01,-68.2062,-52.2062,-2.84193,-23.6458,-0.198626,-9.74006,-18.0989,-2.27354,-41.8786,-6.98797,-27.5603,0,1.25806,0,3,21,0,0,-14.4668,0,7,6,1,6,0.203267,3.25955,0
247120 CHEMBL344548_entry_00001_conf_02,-67.68,-51.68,-2.82,-23.4633,-0.197094,-9.66491,-17.9165,-2.33379,-41.4821,-7.09348,-27.7413,0,1.29586,0,3,21,0,0,-13.8018,0,7,6,2,5,0,3.3053,0
247120 CHEMBL344548_entry_00001_conf_03,-67.4846,-51.4846,-2.81186,-23.3956,-0.196525,-9.637,-17.8487,-2.32705,-42.9732,-8.84204,-30.7391,0,2.81107,0,5,19,0,0,-12.6924,0,7,6,2,6,0,3.3552,0
247120 CHEMBL344548_entry_00001_conf_04,-63.3471,-47.3471,-2.63946,-21.9612,-0.184476,-9.04617,-16.4143,-2.2624,-34.7941,-8.07915,-26.8913,0,0.710365,0,5,19,0,0,-15.943,0,7,6,3,4,0,3.04952,0
247120 CHEMBL344548_entry_00001_conf_05,-61.0237,-45.0237,-2.54265,-21.1557,-0.17771,-8.71437,-15.6088,-2.44095,-40.9112,-7.26184,-27.8895,0,0.685857,-0.1,0,24,0,0,-8.93446,0,7,6,6,5,0,3.44501,0
247120 CHEMBL344548_entry_00001_conf_06,-59.514,-43.514,-2.47975,-20.6323,-0.173313,-8.49878,-15.0854,-2.20422,-37.7621,-8.45821,-24.5545,0,0.23318,0,2,22,0,0,-8.90896,0,7,6,4,6,0,3.26481,0
247120 CHEMBL344548_entry_00001_conf_07,-59.4111,-43.4111,-2.47546,-20.5967,-0.173013,-8.48408,-15.0498,-2.04866,-33.5284,-7.78787,-25.6031,0,1.75381,0,6,18,0,0,-14.3911,0,7,6,2,5,0.00816534,3.17222,0
247120 CHEMBL344548_entry_00001_conf_08,-58.0618,-42.0618,-2.41924,-20.1289,-0.169084,-8.2914,-14.582,-2.00213,-33.8157,-6.61833,-28.0241,0,1.66377,0,6,18,0,0,-12.1586,0,7,6,2,6,0,3.32277,0
247120 CHEMBL344548_entry_00001_conf_09,-56.9699,-40.9699,-2.37375,-19.7504,-0.165904,-8.13547,-14.2035,-2.2788,-42.0895,-3.96346,-32.9323,0,0.905182,0,5,19,0,0,-3.8785,0,7,6,6,5,0,3.80218,0
247120 CHEMBL344548_entry_00001_conf_10,-55.9988,-39.9988,-2.33328,-19.4137,-0.163077,-7.9968,-13.8668,-2.07403,-34.0055,-7.24301,-27.6943,0,2.7807,0,5,19,0,0,-8.98859,0,7,6,4,5,0,2.96795,0
