129821_CHEMBL81286_01 -76.2922  00000100000000000000010010100000001000001000000000010000000000010000000000000000000000000001000000000000000000010000000000101010000010000000000101000000000001000
129821_CHEMBL81286_02 -75.4145  00000100000000000000010010100000001000001000000000010000000000010000000000000000000000000001000000000000000000010000000000101000000010000000000101000000000001000
129821_CHEMBL81286_03 -73.8768  00010100000000000000000000000000101000001000000000010000000000010000000000000000000000000001000000000000000000000000000000101000000000000000000101000000000001000
129821_CHEMBL81286_04 -72.8001  00000000000000000000000000000000101000001000000000010000000000010000000000000000000000000001000000000000000000010000000000101000000000000000000101000000000001000
129821_CHEMBL81286_05 -72.5204  00000000000000000000000000000000101000001000000000010000000000010000000000000000000000000001000000000000000000010000000000101000000000000000000101000000000000000
129821_CHEMBL81286_06 -72.1158  00000100000000000000000000000000001000001000000000010000000000010000000000000000000000000001000000000000000000010000000000001000001010000000000101000000000001000
129821_CHEMBL81286_07 -71.2957  00000100000000000000000000000000001000001000000000010000000000010000000000000000000000000001000000000000000000010000000000101010000010000000000101000000000001000
129821_CHEMBL81286_08 -71.0404  00000100000000000000000000000000001000001000000000010000000000010000000000000000000000000001000000000000000000010000000000101000000010000000000101000000000001000
129821_CHEMBL81286_09 -71.0301  00000100000000000000000000000000001000001000000000010000000000010000000000000000000000000001000000000000000000010000000000101010000010000000000101000000000001000
129821_CHEMBL81286_10 -70.5601  00010100000000000000000000000000101000001000000000010000000000010000000000000000000000000001000000000000000000000000000000101000000010000000000101000000000001000
129821_CHEMBL81286_11 -70.5226  00000100000000000000000000100000001000001000000000000000000000010000000000000000000000000001000000000000000000010000000000101000000010000000000101000000000001000
129821_CHEMBL81286_12 -69.7661  00000100000000000000010000000000101000001000000000010000000000010000000000000000000000000001000000000000000000010000000000101010000010000000000101000000000001000
129821_CHEMBL81286_13 -69.5254  00000100000000000000000000000000001000001000000000010000000000010000000000000000000000000001000000000000000000010000000000101010000010000000000101000000000001000
129821_CHEMBL81286_14 -69.1209  00000100000000000000010000000000101000001000000000010000000000010000000000000000000000000001000000000000000000000000000000101000000000000000000101000000000001000
129821_CHEMBL81286_15 -68.9142  00000000000000000000010000000000101000001000000000010000000000000000000000000000000000000001000000000000000000010000000000101010000010000000000101000000000001000
129821_CHEMBL81286_16 -68.7019  00000100000000000000000000100000001000001000000000010000000000010000000000000000000000000001000000000000000000010000000000101010000010000000000101000000000001000
129821_CHEMBL81286_17 -68.6829  00000100000000000000000000000000001000001000000000000000000000010000000000000000000000000001000000000000000000010000000000101000000010000000000101000000000001000
129821_CHEMBL81286_18 -68.0779  00000100000000000000000000000000001000000000000000000000000000000000000000000000000000000001000000000000000000010000000000101000000000000000000101000000000001000
129821_CHEMBL81286_19 -67.746   00000100000000000000000000000000001000101000000000100000000000010000001000000000000000000001000000000000000000010000000000101000001010000000000101000000000000000
129821_CHEMBL81286_20 -67.5792  00000000000000000000000000000000101000001000000000010000000000010000000000000000000000000001000000000000000000000000000000101000000000000000000101000000000000000
129821_CHEMBL81286_21 -66.7027  00000100000000000000000000100000001000001000000000010000000000010000000000000000000000000001000000000000000000010000000000001000000010000000000101000000000001000
129821_CHEMBL81286_22 -66.5082  00000100000000000000000000000000001000000000000000000000000000010000000000000000000000000001000000000000000000010000000000101000000010000000000101000000000001000
129821_CHEMBL81286_23 -66.0336  00000000000000000000010000000000101000001000000000010000000000010000000000000000000000000001000000000000000000000000000000101000000000000000000101000000000000000
129821_CHEMBL81286_24 -65.5621  00000000000000000000000010100000001000101000000000010000000000000000000000000000000000000001000000000000000000000000000000000000000010000000000000000000000000000
129821_CHEMBL81286_25 -65.4155  00000001000001000000000000001000101000001000000000000000000000000000000000000000000000000001000000000000000001010000101000001000000000000000000000000000000000000
